Name,LevelRange,Zone,Family
Qutrub Forayer,N/A,Al Zahbi,Qutrub
Qutrub Wastrel,N/A,Al Zahbi,Qutrub
Quu Domi the Gallant,35 - 36,Castle Oztroja,Yagudo
Quu Xijo the Illusory,N/A,Giddeus,Yagudo
Ra'Dha Scarscute,N/A,Beadeaux (S),Quadav
Race Runner,N/A,Boneyard Gully,Eft
Racing Chariot,N/A,Nyzul Isle,Chariots
Radiant Wyvern,N/A,Chamber of Oracles,Wyvern
Rahskhas's Pet,N/A,Batallia Downs (S),Smilodon
Rahu,N/A,Ghoyu's Reverie (MMM),Raptor
Raid Raptor,N/A,Al Zahbi,Raptor
Raid Raptor,N/A,Sauromugue Champaign (S),Raptor
Raigegue R d'Oraguille,N/A,Jugner Forest (S),Corse
Rainbringer Yjatvot,N/A,Lufaise Meadows,Orc
Raja,N/A,Abyssea-Grauberg,Caturae
Rakshas,N/A,Abyssea-Vunkerl,Tiger
Rallbrog of Clan Death,N/A,Qu'Bia Arena,Orc
Rambukk,N/A,East Ronfaure,Ram
Rampaging Ram,27 - 28,Konschtat Highlands,Ram
Ramponneau,N/A,West Sarutabaruta (S),Toad
Ramuh Prime,70 - 70,Cloister of Storms,Avatar
Ramuh Prime,25 - 25,Cloister of Storms,Avatar
Ramuh Prime,N/A,Cloister of Storms, 1 more areas,Avatar
Ramuh Prime,N/A,Cloister of Storms,Avatar
Rancor Torch,N/A,Den of Rancor,Bomb
Rani,N/A,Abyssea-Altepa,Caturae
Rasetsu,N/A,Waughroon Shrine,Demon
Raskovnik,N/A,Abyssea-Konschtat,Rafflesia
Ratatoskr,N/A,Fort Karugo-Narugo (S),Rabbit
Raubahn,N/A,Jade Sepulcher, 1 more areas,Hume
Rauu the Whaleswooner,60 - 60,Sacrificial Chamber,Sahagin
Ravenous Crawler,N/A,Rolanberry Fields,Crawler
Razfahd,N/A,Nyzul Isle,Archaic Machinery
Razon,N/A,Monarch Linn,Cluster
Reactionary Rampart,N/A,Bhaflau Remnants,Salvage - Archaic Ramparts
Reacton,N/A,,Bomb
Reaper Clan Warmachine,68 - 68,Horlais Peak,Orcish Warmachine
Reapertongue Gadgquok,N/A,Dynamis - San d'Oria,Dynamis - Orc
Red Pillywiggin,N/A,Ghoyu's Reverie (MMM),Bee
Ree Nata the Melomanic,N/A,Dynamis - Buburimu,Dynamis - Yagudo
Refitted Chariot,N/A,Abyssea-Uleguerand,Chariots
Reifnir,N/A,Einherjar - Ortlinde's Chamber, 2 more areas,Demon
Rencounter Chariot,N/A,Abyssea-Grauberg,Chariots
Repiner,N/A,Spire of Vahzl,Empty
Resheph,N/A,Abyssea-Uleguerand,Diremite
Retiarius XI-XIX,60 - 60,Chamber of Oracles,Antica
Rhoikos,N/A,Middle Delkfutt's Tower,Gigas
Rhoitos,N/A,Middle Delkfutt's Tower,Gigas
Rictusgrin Prakpok,N/A,Monastic Cavern,Orc
Riko Kupenreich,N/A,Throne Room,Moogle
Robel-Akbel,N/A,Castle Oztroja (S),Tarutaru
Roc,65 - 65,Sauromugue Champaign,Greater Bird
Roc (Nyzul),N/A,Nyzul Isle,Greater Bird
Rogue Receptacle,N/A,Ro'Maeve,Magic Pot
Rohemolipaud,N/A,Bibiki Bay - Purgonorgo Isle,Humanoid
Rojgnoj's Left Hand,N/A,Qu'Bia Arena,Orc
Rojgnoj's Right Hand,N/A,Qu'Bia Arena,Orc
Rongeur D'os,N/A,Qu'Bia Arena,Hound
Rose Garden,N/A,Yuhtunga Jungle,Morbol
Rossweisse,N/A,Einherjar - Odin's Chamber,Fomor
Rotting Huskarl (BLM),N/A,Einherjar - Rossweisse's Chamber, 5 more areas,Skeleton
Rotting Huskarl (WAR),N/A,Einherjar - Rossweisse's Chamber, 5 more areas,Skeleton
Routsix Rubbertendons,N/A,Dynamis - Beaucedine,Dynamis - Goblin
Ru'aern,N/A,Al'Taieu,Aern
Ru'bha Stonewall,N/A,Grauberg (S),Quadav
Ru'phuabo,N/A,Al'Taieu,Phuabo
Ruby Quadav,69 - 70,Qulun Dome,Quadav
Ruffbix Jumbolobes,N/A,Dynamis - Beaucedine,Dynamis - Goblin
Rugaroo,N/A,La Vaule (S),Gnole
Ruminator,N/A,Abyssea-La Theine,Thinkers
Rutrix Hamgams,N/A,Dynamis - Jeuno,Dynamis - Goblin
Ryy Qihi the Idolrobber,N/A,Dynamis - Beaucedine,Dynamis - Yagudo
Sa'Nha Soulsaver,N/A,Waughroon Shrine,Quadav
Saa Doyi the Fervid,N/A,Castle Oztroja,Yagudo
Sable-tongued Gonberry,60 - 60,Sacrificial Chamber,Tonberry
Sabotender Bailarin,N/A,Quicksand Caves,Sabotender
Sabotender Bailarin (Nyzul),N/A,Nyzul Isle,Sabotender
Sabotender Bailarina,80 - 82,Quicksand Caves,Sabotender
Sabotender Corrido,N/A,Eastern Altepa Desert,Sabotender
Sabotender Enamorado,N/A,Western Altepa Desert,Sabotender
Sabotender Maestro,N/A,Arrapago Remnants,Salvage - Sabotender
Sabotender Mariachi,68 - 70,Kuftal Tunnel,Sabotender
Sabotender Mariachi (Nyzul),N/A,Nyzul Isle,Sabotender
Sacrificial Goblet,75 - 75,Temple of Uggalepih,Magic Pot
Sacrophilus,N/A,Abyssea-Konschtat,Eft
Saehrimnir,N/A,Einherjar - Rossweisse's Chamber, 8 more areas,Tiger
Sagelord Molaal Ja,N/A,Mamool Ja Training Grounds,Mamool Ja
Sagittarius X-XIII,55 - 55,Quicksand Caves,Antica
Salamander,N/A,Ifrit's Cauldron,Lizard
Saltopus,N/A,Verdical Conflux 5,Wyvern
Sandworm,88 - 88,Sauromugue Champaign (S), 7 more areas,Sandworm
Sapphire Quadav,N/A,Ruhotz Silvermines,Quadav
Sapphirine Quadav,N/A,Ruhotz Silvermines,Quadav
Sappy Sycamore,N/A,Jugner Forest,Sapling
Sarameya,N/A,Mount Zhayolm,Cerberus
Sarcopsylla,73 - 74,Grauberg (S),Chigoe
Sargas,N/A,Attohwa Chasm,Scorpion
Satellite Claymore,N/A,Dynamis - Xarcabard,Dynamis - Animated Weapons
Satellite Dagger,N/A,Dynamis - Xarcabard,Dynamis - Animated Weapons
Satellite Great Axe,N/A,Dynamis - Xarcabard,Dynamis - Animated Weapons
Satellite Gun,N/A,Dynamis - Xarcabard,Dynamis - Animated Weapons
Satellite Hammer,N/A,Dynamis - Xarcabard,Dynamis - Animated Weapons
Satellite Horn,N/A,Dynamis - Xarcabard,Dynamis - Animated Weapons
Satellite Knuckles,N/A,Dynamis - Xarcabard,Dynamis - Animated Weapons
Satellite Kunai,N/A,Dynamis - Xarcabard,Dynamis - Animated Weapons
Satellite Longbow,N/A,Dynamis - Xarcabard,Dynamis - Animated Weapons
Satellite Longsword,N/A,Dynamis - Xarcabard,Dynamis - Animated Weapons
Satellite Scythe,N/A,Dynamis - Xarcabard,Dynamis - Animated Weapons
Satellite Shield,N/A,Dynamis - Xarcabard,Dynamis - Animated Weapons
Satellite Spear,N/A,Dynamis - Xarcabard,Dynamis - Animated Weapons
Satellite Staff,N/A,Dynamis - Xarcabard,Dynamis - Animated Weapons
Satellite Tabar,N/A,Dynamis - Xarcabard,Dynamis - Animated Weapons
Satellite Tachi,N/A,Dynamis - Xarcabard,Dynamis - Animated Weapons
Satiator,38 - 38,Promyvion - Dem,Gorgers
Schwertleite,N/A,Einherjar - Odin's Chamber,Fomor
Scitalis,80 - 82,Grauberg (S),Wyvern
Scolopendra,N/A,Dynamis - Qufim,Dynamis - Sea Monk
Scout Puk,N/A,Al Zahbi,Puk
Scruffix Shaggychest,N/A,Dynamis - Jeuno,Dynamis - Goblin
Scultone,N/A,Ghoyu's Reverie (MMM),Dragon
Scylla,N/A,Beaucedine Glacier (S),Ruszor
Scythefang Liger,N/A,Batallia Downs (S),Smilodon
Sea Hog,N/A,Sea Serpent Grotto,Pugil
Sea Horror,60 - 62,Ship from Mhaura to Selbina,Sea Monk
Searcher,23 - 23,Balga's Dais,Ahriman
Searing Vogaal Ja,N/A,Al Zahbi,Mamool Ja
Secutor XI-XXXII,60 - 60,Chamber of Oracles,Antica
Sedna,N/A,Abyssea-Vunkerl,Ruszor
Seed Crystal,N/A,Stellar Fulcrum,Living Crystal
Seed Goblin,N/A,Qu'Bia Arena,Goblin
Seed Mandragora,N/A,Qufim Island,Mandragora
Seed Orc,N/A,Qu'Bia Arena,Orc
Seed Quadav,N/A,Qu'Bia Arena,Quadav
Seed Thrall,N/A,Stellar Fulcrum,Summoned
Seed Yagudo,N/A,Qu'Bia Arena,Yagudo
Seeker,23 - 23,Waughroon Shrine,Ahriman
Seiryu,85 - 90,Ru'Aun Gardens,Wyvern
Seiryu (Summoned),N/A,The Shrine of Ru'Avitau,Wyvern
Sekhmet,N/A,Attohwa Chasm,Coeurl
Sengann,N/A,Lufaise Meadows,Fomor
Sentinel Wivre,N/A,Grauberg (S),Wivre
Sentry Sapling,N/A,Jugner Forest (S),Sapling
Seps,N/A,Abyssea-Vunkerl,Puk
Serket,70 - 70,Garlaige Citadel,Scorpion
Serket,N/A,Ghoyu's Reverie,Scorpion
Serket (Nyzul),N/A,Nyzul Isle,Scorpion
Serpopard Ishtar,19 - 20,Tahrongi Canyon,Dhalmel
Serpopard Ishtar (Nyzul),N/A,Nyzul Isle,Dhalmel
Serra,N/A,Bibiki Bay - Purgonorgo Isle,Pugil
Seua Peek,N/A,Ghoyu's Reverie (MMM),Tiger
Sevenskewer Krugglug,N/A,Monastic Cavern,Orc
Sewer Syrup,65 - 65,Bostaunieux Oubliette,Slime
Sewer Syrup (Nyzul),N/A,Nyzul Isle,Slime
Seww the Squidlimbed,N/A,Sea Serpent Grotto,Sahagin
Shadhaver,N/A,Ghoyu's Reverie (MMM),Monohorn
Shadow Eye,48 - 49,Xarcabard,Ahriman
Shadow Eye (Nyzul),N/A,Nyzul Isle,Ahriman
Shadow Lord,60 - 60,Throne Room,Demon
Shadow Lord (Fiat Lux),N/A,Throne Room (S),Demon
Shadow of Rage,N/A,Throne Room,Shadow
Shadowbreath,N/A,Castle Zvahl Keep (S), 1 more areas,Vampyr
Shadowbreath Defiler,N/A,Castle Zvahl Keep (S), 1 more areas,Demon
Shadoweye,N/A,Jugner Forest (S), 1 more areas,Ahriman
Shadowfang,N/A,Sauromugue Champaign (S), 18 more areas,Demon
Shadowguard Demon,N/A,Castle Zvahl Baileys (S), 1 more areas,Demon
Shadowhand,N/A,Jugner Forest (S), 2 more areas,Fomor
Shadowhand Kaleel Ja,N/A,Jade Sepulcher,Mamool Ja
Shadowhorn,N/A,Jugner Forest (S), 2 more areas,Taurus
Shadowsoul,N/A,Xarcabard (S),Demon
Shadowsoul Devourer,N/A,Xarcabard (S),Dragon
Shadowwing,N/A,Beaucedine Glacier (S),Gargouille
Shadowwing Infuriator,N/A,Beaucedine Glacier (S),Gargouille
Shamblix Rottenheart,N/A,Dynamis - Buburimu,Dynamis - Goblin
Shankha,N/A,Bibiki Bay - Purgonorgo Isle,Uragnite
Shantotto,N/A,Stellar Fulcrum,Tarutaru
Sharabha,N/A,Abyssea-Altepa,Manticore
Sharp-Eared Ropipi,N/A,East Sarutabaruta,Rabbit
Sharp-Eared Ropipi (Nyzul),N/A,Nyzul Isle,Rabbit
Shatterskull Mippdapp,N/A,Monastic Cavern,Orc
Shatterskull Mippdapp,N/A,La Vaule (S),Orc
Shaula,N/A,Abyssea-Altepa,Scorpion
Shen,N/A,Bibiki Bay - Purgonorgo Isle,Uragnite
Shesha,N/A,Beaucedine Glacier (S),Gargouille
Shielded Chariot,N/A,Nyzul Isle,Chariots
Shieldtrap,N/A,Riverne - Site #A01,Trap
Shii,N/A,Bostaunieux Oubliette,Hound
Shikaree X,N/A,Boneyard Gully,Mithra
Shikaree X's Rabbit,N/A,Boneyard Gully,Rabbit
Shikaree Y,N/A,Boneyard Gully,Mithra
Shikaree Z,N/A,Boneyard Gully,Mithra
Shikaree Z's Wyvern,N/A,Boneyard Gully,Wyvern
Shikigami Weapon,N/A,Ro'Maeve,Evil Weapon
Shinryu,N/A,Abyssea-Empyreal Paradox,Wyrm
Shisox Widebrow,N/A,Dynamis - Beaucedine,Dynamis - Goblin
Shiva Prime,70 - 70,Cloister of Frost,Avatar
Shiva Prime,25 - 25,Cloister of Frost,Avatar
Shiva Prime,N/A,Cloister of Frost, 1 more areas,Avatar
Shiva Prime,N/A,Cloister of Frost,Avatar
Shoggoth,N/A,North Gustaberg, 3 more areas,Hecteyes
Shredded Samson,N/A,Qu'Bia Arena,Ghost
Shrewd Hunter,N/A,Boneyard Gully,Antlion
Siege Scorpion,N/A,Al Zahbi,Scorpion
Siegrune,N/A,Einherjar - Odin's Chamber,Fomor
Silk Caterpillar,28 - 30,Rolanberry Fields,Crawler
Siltim,N/A,Ghoyu's Reverie (MMM),Rafflesia
Silverhook,N/A,Ship from Selbina to Mhaura,Skeleton
Simorg,N/A,Grauberg (S),Wyvern
Simurgh,65 - 65,Rolanberry Fields,Greater Bird
Simurgh (Nyzul),N/A,Nyzul Isle,Greater Bird
Sippoy,N/A,Abyssea-Vunkerl,Caturae
Siranpa-Kamuy,N/A,Abyssea-Konschtat,Treant
Sirrush,N/A,Abyssea-Misareaux,Lizard
Sisyphus,N/A,Abyssea-Uleguerand,Golem
Sjokrakjen,N/A,Einherjar - Rossweisse's Chamber, 5 more areas,Sea Monk
Skeleton Esquire,N/A,Jugner Forest,Skeleton
Skeleton Scuffler,N/A,The Sanctuary of Zi'tah,Skeleton
Skewer Sam,54 - 54,Garlaige Citadel,Cockatrice
Skinmask Ugghfogg,N/A,Dynamis - Beaucedine,Dynamis - Orc
Skirling Liger,N/A,Batallia Downs,Tiger
Skirmish Pephredo,N/A,Bhaflau Remnants,Salvage - Bee
Skogs Fru,60 - 65,East Ronfaure (S),Ladybug
Skoll,N/A,Ghoyu's Reverie (MMM),Gnole
Skuld,N/A,Batallia Downs, 5 more areas,Pixie
Skull of Envy,60 - 60,The Eldieme Necropolis,Skeleton
Skull of Gluttony,60 - 60,The Eldieme Necropolis,Skeleton
Skull of Greed,60 - 60,The Eldieme Necropolis,Skeleton
Skull of Lust,60 - 60,The Eldieme Necropolis,Skeleton
Skull of Pride,60 - 60,The Eldieme Necropolis,Skeleton
Skull of Sloth,60 - 60,The Eldieme Necropolis,Skeleton
Skull of Wrath,60 - 60,The Eldieme Necropolis,Skeleton
Skvader,N/A,Uleguerand Range,Rabbit
Slate Scorpion,N/A,Meriphataud Mountains (S),Scorpion
Slave Globe,N/A,The Shrine of Ru'Avitau,Detector
Slendlix Spindlethumb,N/A,Inner Horutoto Ruins,Goblin
Slinkix Trufflesniff,N/A,Dynamis - Beaucedine,Dynamis - Goblin
Slippery Sucker,N/A,Qufim Island,Leech
Slitherword Razghogg,N/A,La Vaule (S),Orc
Sluagh,N/A,Fei'Yin,Ghost
Slumbering Samwell,N/A,La Theine Plateau,Sheep
Slystix Megapeepers,N/A,Dynamis - Jeuno,Dynamis - Goblin
Smeltix Thickhide,N/A,Dynamis - Jeuno,Dynamis - Goblin
Smok,N/A,Abyssea-Attohwa,Wyrm
Smothered Schmidt,36 - 38,Gusgen Mines,Ghost
Smothered Schmidt (Nyzul),N/A,Nyzul Isle,Ghost
Sniper Pugil,N/A,Horlais Peak,Pugil
Snoll Tzar,N/A,Bearclaw Pinnacle,Snoll
Snow Devil,N/A,Bearclaw Pinnacle,Snoll
Snow Maiden,71 - 72,Uleguerand Range,Snoll
Snypestix Eaglebeak,N/A,Dynamis - Jeuno,Dynamis - Goblin
So'Hyu Quakemaker,N/A,Qulun Dome,Quadav
Sobek,N/A,Abyssea-Misareaux,Bugard
Solicitor,55 - 55,Promyvion - Vahzl,Empty
Son of Anansi,70 - 70,Qu'Bia Arena,Spider
Soo Jopo the Fiendking,N/A,Dynamis - Beaucedine,Dynamis - Yagudo
Soulflayer,N/A,Einherjar - Ortlinde's Chamber, 2 more areas,Soulflayer
Soulsender Fugbrag,N/A,Dynamis - San d'Oria,Dynamis - Orc
Soulstealer Skullnix,74 - 76,Labyrinth of Onzozo,Goblin
Southern Piranu,N/A,Open sea route to Mhaura,Orobon
Southern Shadow,63 - 63,Fei'Yin,Shadow
Southern Shadow (Nyzul),N/A,Nyzul Isle,Shadow
Sozu Bliberry,75 - 75,Den of Rancor,Tonberry
Sozu Rogberry,65 - 66,Temple of Uggalepih,Tonberry
Sozu Sarberry,N/A,Temple of Uggalepih,Tonberry
Sozu Terberry,67 - 67,Temple of Uggalepih,Tonberry
Sparkspox Sweatbrow,N/A,Dynamis - Jeuno,Dynamis - Goblin
Sparky Sam,N/A,Ghoyu's Reverie (MMM),Rabbit
Spinalsucker Galflmall,N/A,Dynamis - Beaucedine,Dynamis - Orc
Spiny Spipi,9 - 10,East Sarutabaruta,Crawler
Spiny Spipi (Nyzul),N/A,Nyzul Isle,Crawler
Splacknuck,N/A,Bibiki Bay,Eft
Splinterspine Grukjuk,45 - 50,Lufaise Meadows,Orc
Spotter,23 - 23,Horlais Peak,Ahriman
Stabnix Skewerfinger,N/A,North Gustaberg (S),Goblin
Stcemqestcint,N/A,Dynamis - Valkurm,Dynamis - Treant
Stealth Bomber Gagaroon,N/A,Nyzul Isle,Qiqirn
Steam Cleaner,82 - 82,Ve'Lugannon Palace,Magic Pot
Steelbiter Gudrud,33 - 34,Davoi,Orc
Steelbiter Gudrud,N/A,Jugner Forest (S), 4 more areas,Orc
Steelfleece Baldarich,63 - 65,Konschtat Highlands,Ram
Steelfleece Baldarich (Nyzul),N/A,Nyzul Isle,Ram
Steely Weapon,N/A,Ro'Maeve,Evil Weapon
Stihi,N/A,Dynamis - Buburimu,Dynamis - Dragon
Stinging Sophie,9 - 10,North Gustaberg,Bee
Stinging Sophie (Nyzul),N/A,Nyzul Isle,Bee
Stolas,80 - 80,Cape Teriggan,Bird
Stollenwurm,N/A,Dynamis - Buburimu,Dynamis - Dragon
Stoorworm,N/A,Einherjar - Ortlinde's Chamber, 2 more areas,Hydra
Stray Mary,19 - 20,Konschtat Highlands,Sheep
Stray Mary (Nyzul),N/A,Nyzul Isle,Sheep
Strifelord Bakool Ja,N/A,Al Zahbi,Mamool Ja
Stringes,N/A,Dynamis - Qufim,Dynamis - Bat
Strongarm Zodvad,6 - 6,Ghelsba Outpost,Orc
Stubborn Dredvodd,N/A,Phanauet Channel,Orc
Sturm,62 - 62,The Eldieme Necropolis,Hound
Sturmtiger,N/A,Batallia Downs,Tiger
Sugaar,N/A,Pashhow Marshlands (S),Peiste
Sunderclaw,N/A,East Ronfaure, 3 more areas,Crab
Suparna,N/A,Batallia Downs,Greater Bird
Suparna Fledgling,N/A,Batallia Downs,Greater Bird
Supplespine Mujwuj,N/A,Jugner Forest,Orc
Sureshot Snatgat,6 - 6,Ghelsba Outpost,Orc
Surmerdar the Unbridled,N/A,Al Zahbi,Troll
Suttung,N/A,Dynamis - Qufim,Dynamis - Golem
Suu Xicu the Cantabile,N/A,Castle Oztroja (S),Yagudo
Suzaku,85 - 90,Ru'Aun Gardens,Greater Bird
Suzaku (Summoned),N/A,The Shrine of Ru'Avitau,Greater Bird
Swamfisk,9 - 10,East Ronfaure,Pugil
Swamfisk (Nyzul),N/A,Nyzul Isle,Pugil
Swamp Muck,N/A,Pashhow Marshlands (S),Slime
Swashstox Beadblinker,N/A,Newton Movalpolos,Goblin
Swift Hunter,N/A,Boneyard Gully,Antlion
Swiftwinged Gekko,N/A,Dvucca Isle Staging Point,Imp
Swipostik,N/A,Mine Shaft #2716,Moblin
Sword Sorcerer Solisoq,N/A,Newton Movalpolos,Moblin
Swypestix Tigershins,N/A,Dynamis - Beaucedine,Dynamis - Goblin
Ta'Hyu Gallanthunter,N/A,Dynamis - Beaucedine,Dynamis - Quadav
Tablilla,N/A,Abyssea-Altepa,Doll
Taifun,58 - 58,The Eldieme Necropolis,Tiger
Tainted Treant,N/A,Jugner Forest (S),Treant
Taisaijin,N/A,Ranguemont Pass,Hecteyes
Taisaijin (Nyzul),N/A,Nyzul Isle,Hecteyes
Tammuz,N/A,Konschtat Highlands, 2 more areas,Ram
Tanihwa,N/A,Ghoyu's Reverie (MMM),Bugard
Tanngrisnir,N/A,Einherjar - Helmwige's Chamber, 2 more areas,Dragon
Tarasca,N/A,Dynamis - Buburimu,Dynamis - Dragon
Tarasque,72 - 74,Ifrit's Cauldron,Lizard
Tartalo,N/A,Fort Karugo-Narugo (S),Ahriman
Tartaruga Gigante,N/A,Waughroon Shrine,Adamantoise
Taruroaster Biggsjig,N/A,Dynamis - Beaucedine,Dynamis - Orc
Tarutaru Automaton,N/A,Mine Shaft #2716,Humanoid
Tatzelwurm,N/A,Ghoyu's Reverie (MMM),Eft
Tatzlwurm,N/A,Full Moon Fountain,Wyvern
Tawny-fingered Mugberry,75 - 75,Den of Rancor,Tonberry
Taxim,78 - 79,Gustav Tunnel,Skeleton
Te'Zha Ironclad,N/A,Dynamis - Buburimu,Dynamis - Quadav
Teekesselchen,N/A,Abyssea-Grauberg,Magic Pot
Tefenet,N/A,Abyssea-Tahrongi,Coeurl
Tegmine,71 - 72,Cape Teriggan,Crab
Tejas,N/A,Abyssea-Attohwa,Avatar
Tellus,N/A,Ghoyu's Reverie (MMM),Elemental
Tempest Tigon,N/A,Carpenters' Landing,Tiger
Tenzen,N/A,Sealion's Den,Hume
Teporingo,N/A,Dangruf Wadi,Rabbit
Terror Fly,N/A,Ghoyu's Reverie (MMM),Fly
Tethra,N/A,The Eldieme Necropolis (S),Fomor
Teugghia,N/A,Abyssea-Grauberg,Pixie
The Waughroon Kid,N/A,Waughroon Shrine,Goobbue
Theoyagudo Bard,30 - 35,Buburimu Peninsula, 1 more areas,Yagudo
Theoyagudo Black Mage,30 - 35,Buburimu Peninsula, 1 more areas,Yagudo
Theoyagudo Monk,30 - 35,Buburimu Peninsula, 1 more areas,Yagudo
Theoyagudo Ninja,30 - 35,Buburimu Peninsula, 1 more areas,Yagudo
Theoyagudo Samurai,30 - 35,Buburimu Peninsula, 1 more areas,Yagudo
Theoyagudo Summoner,30 - 35,Buburimu Peninsula, 1 more areas,Yagudo
Theoyagudo White Mage,30 - 35,Buburimu Peninsula, 1 more areas,Yagudo
Thoon,N/A,Korroloka Tunnel,Gigas
Thousandarm Deshglesh,11 - 13,Ghelsba Outpost,Orc
Three-Eyed Prozpuz,60 - 60,Davoi,Orc
Three-eyed Prozpuz,N/A,Vunkerl Inlet (S),Orc
Thunder Elemental,N/A,Dynamis - Qufim,Dynamis - Elemental
Thunder Gremlin,N/A,Cloister of Storms,Evil Weapon
Thunder Pot,N/A,Qu'Bia Arena,Magic Pot
Thunderclaw Thuban,N/A,Sauromugue Champaign,Raptor
Thunderhead,N/A,Konschtat Highlands,Sheep
Thunor,N/A,Batallia Downs, 5 more areas,Elemental
Tiamat,95 - 95,Attohwa Chasm,Wyrm
Ticktox Beadyeyes,N/A,Dynamis - Jeuno,Dynamis - Goblin
Tieholtsodi,N/A,Apollyon - Southeast,Limbus - Sea Monk
Tiffenotte,N/A,West Sarutabaruta (S),Pixie
Tigerbane Bakdak,31 - 32,Davoi,Orc
Tikbalang,N/A,Xarcabard (S),Taurus
Time Bomb,50 - 50,Waughroon Shrine,Bomb
Timeworn Warrior,N/A,Xarcabard,Skeleton
Tind,N/A,Einherjar - Ortlinde's Chamber, 2 more areas,Demon
Tinnin,N/A,Wajaom Woodlands,Hydra
Tipha,65 - 65,Yuhtunga Jungle,Opo-opo
Titan Prime,70 - 70,Cloister of Tremors,Avatar
Titan Prime,25 - 25,Cloister of Tremors,Avatar
Titan Prime,N/A,Cloister of Tremors, 1 more areas,Avatar
Titan Prime,N/A,Cloister of Tremors,Avatar
Titanis Dax,N/A,Waughroon Shrine,Greater Bird
Titanis Jax,N/A,Waughroon Shrine,Greater Bird
Titanis Max,N/A,Waughroon Shrine,Greater Bird
Titanis Xax,N/A,Waughroon Shrine,Greater Bird
Titlacauan,N/A,Abyssea-Attohwa,Corse
Toadbolster,N/A,Ghelsba Outpost,Funguar
Toadcushion,N/A,Ghelsba Outpost,Funguar
Toadpillow,N/A,Ghelsba Outpost,Funguar
Toadsquab,N/A,Ghelsba Outpost,Funguar
Tocktix Thinlids,N/A,Dynamis - Beaucedine,Dynamis - Goblin
Tococo,N/A,South Gustaberg,Bird
Tom Tit Tat,10 - 10,West Sarutabaruta,Mandragora
Tom Tit Tat (Nyzul),N/A,Nyzul Isle,Mandragora
Tonberry Decapitator,72 - 74,Den of Rancor,Tonberry
Tonberry Kinq,N/A,Temple of Uggalepih,Tonberry
Tonberry Lieje,N/A,Abyssea-Konschtat,Tonberry
Tonberry Pontifex,75 - 75,Den of Rancor,Tonberry
Tonberry Tracker,72 - 74,Den of Rancor,Tonberry
Toro,N/A,East Sarutabaruta, 6 more areas,Buffalo
Torvotaur,N/A,Xarcabard (S),Taurus
Tottering Toby,27 - 28,Batallia Downs,Sapling
Tottering Toby (Nyzul),N/A,Nyzul Isle,Sapling
Toxic Tamlyn,N/A,Pashhow Marshlands,Morbol
Trailblix Goatmug,N/A,Dynamis - Jeuno,Dynamis - Goblin
Treble Noctules,N/A,Abyssea-Tahrongi,Triple Bats
Treefeller Snogrog,N/A,Jugner Forest (S),Orc
Trembler Tabitha,N/A,Maze of Shakhrami,Worm
Tres Duendes,N/A,Phomiuna Aqueducts,Triple Bats
Triarius IV-XIV,N/A,Quicksand Caves,Antica
Triarius V-VIII,N/A,Chamber of Oracles,Antica
Triarius X-XV,72 - 74,Quicksand Caves,Antica
Tribunus VII-I,60 - 62,Quicksand Caves,Antica
Trickster Kinetix,35 - 36,Qufim Island,Evil Weapon
Trickster Kinetix (Nyzul),N/A,Nyzul Isle,Evil Weapon
Trikotrak,N/A,Mine Shaft #2716,Moblin
Trion,N/A,Stellar Fulcrum,Elvaan
Tristitia,N/A,Abyssea-Misareaux,Phuabo
Troll Cannoneer,N/A,Al Zahbi,Troll
Troll Destroyer,N/A,Al Zahbi,Troll
Troll Hoplite,N/A,Al Zahbi,Troll
Troll Paviser,N/A,Al Zahbi,Troll
Troll Pezhetairoi,N/A,Al Zahbi,Troll
Troll Speculator,N/A,Halvung,Troll
Troll Stormer,N/A,Al Zahbi,Troll
Troll Velites,N/A,Al Zahbi,Troll
Trombe,58 - 58,The Eldieme Necropolis,Tiger
Trompe L'Oeil,N/A,Temple of Uggalepih,Golem
Tros,44 - 44,Ranguemont Pass,Sea Monk
Trudging Thomas,N/A,Abyssea-La Theine,Ram
Tsaagan,N/A,Tahrongi Canyon,Raptor
Tsuchigumo,N/A,Eastern Altepa Desert,Spider
Tsukikazu Armor,N/A,East Sarutabaruta, 9 more areas,Shadow
Tuchulcha,N/A,Boneyard Gully,Antlion
Tufflix Loglimbs,N/A,Dynamis - Jeuno,Dynamis - Goblin
Tumbling Truffle,19 - 20,La Theine Plateau,Funguar
Tunga,N/A,Abyssea-Attohwa,Chigoe
Tungs'iton,60 - 60,Sacrificial Chamber,Tonberry
Tupilaq,N/A,Ghoyu's Reverie (MMM),Corse
Turul,N/A,Abyssea-Konschtat,Amphiptere
Tusked Tigon,N/A,Batallia Downs (S),Tiger
Tuskertrap,N/A,Abyssea-Misareaux,Trap
Twilotak,N/A,Mine Shaft #2716,Moblin
Twinkling Treant,N/A,East Sarutabaruta, 1 more areas,Treant
Two-Faced Flan,N/A,Navukgo Execution Chamber,Flan
Tyger,N/A,Caedarva Mire,Chimera
Tymexox Ninefingers,N/A,Dynamis - Jeuno,Dynamis - Goblin
Tyrannic Tunnok,80 - 82,Ifrit's Cauldron,Scorpion
Tyrannic Tunnok (Nyzul),N/A,Nyzul Isle,Scorpion
Tyrant,N/A,Lower Delkfutt's Tower,Doll
Tyrfing,N/A,Einherjar - Ortlinde's Chamber, 2 more areas,Demon
